"rfid","dames","sires"
"933000320047015","73691_2","73723_1"
"933000320047167","73671_2","73742_1"
"933000320046847","73672_2","73697_1"
"933000320047331","73770_2","73669_1"
"933000320046801","73666_2","73719_1"
"933000320047253","73424_1","73224_1"
"933000320046815","73732_2","73686_1"
"933000320047344","73706_2","73668_1"
"933000320047335","73706_2","73668_1"
"933000320047386","73875_2","73858_1"
"933000120138553","72411_1","72341_1"
"933000320046784","72945_1","72797_1"
"933000320046164","73309_2","73347_2"
"933000120138373","72240_3","72265_1"
"933000320046296","72783_2","72907_1"
"933000320046780","72785_2","72787_1"
"933000320045810","73020_2","72789_1"
"933000120138542","72334_2","72380_1"
"933000320046777","73340_2","73337_2"
"933000320046277","72688_2","72530_1"
"933000320046295","72531_1","72543_5"
"933000320046749","72936_2","72803_1"
"933000120138531","72334_2","72380_1"
"933000120138543","72334_2","72380_1"
"933000320045816","72802_2","72784_1"
"933000320046157","72797_2","72795_1"
"933000320045928","72626_6","72660_1"
"933000320045817","73325_2","73342_2"
"933000320046289","72667_2","72527_1"
"933000320046416","73319_1","73317_1"
"933000320046279","72530_2","72540_5"
"933000320046281","72805_2","72777_1"
"933000320046300","72667_2","72527_1"
"933000320046738","72936_2","72803_1"
"933000320046291","72527_2","72623_1"
"933000320045814","73020_2","72789_1"
"933000320046280","72531_1","72543_5"
"933000320046789","72525_2","72534_5"
"933000320046290","72667_2","72527_1"
"933000120138374","72319_2","72454_2"
"933000320045819","73325_2","73342_2"
"933000120138369","72338_2","72411_2"
"933000320046638","73309_2","73347_2"
"933000320046043","72790_2","72805_1"
"933000120138535","72319_2","72454_2"
"933000320046733","73572_2","72772_3"
"933000320046415","73319_1","73317_1"
"933000320046567","72792_2","72778_3"
"933000320046791","72597_4","72690_1"
"933000120138539","72362_1","72337_1"
"933000320045823","73325_2","73342_2"
"933000320046751","72792_2","72778_3"
"933000320046308","72789_2","72799_1"
"933000320045813","72802_2","72784_1"
"933000320046155","72797_2","72795_1"
"933000320046160","72797_2","72795_1"
"933000320046293","72783_2","72907_1"
"933000120138357","72455_1","72391_1"
"933000320046407","72809_2","72785_1"
"933000320046487","72790_2","72805_1"
"933000320046325","72789_2","72799_1"
"933000320046286","72530_2","72540_5"
"933000320046283","72531_1","72543_5"
"933000320046163","73309_2","73347_2"
"933000320046408","73360_1","73358_1"
"933000120138362","72404_1","72409_2"
"933000320046776","72665_1","72620_1"
