"rfid","sex","coatcolor","project_name","organism","strain","comments"
"1DCD6DEE","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDD","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E38","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF8","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E1D","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DD9","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE3","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF3","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E08","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DFC","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E1C","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E0D","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E37","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E15","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDC","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E2C","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE1","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E16","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF7","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E39","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DEA","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE0","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE9","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF6","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DDA","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD1764","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1750","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1769","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD17A6","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1775","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1792","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD176C","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1776","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1784","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1762","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD176E","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD178C","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1790","M","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD174A","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1771","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1781","M","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD178D","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD176A","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD176B","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1765","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD174D","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1794","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD175F","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1756","M","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1761","M","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1763","M","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1779","M","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD17A1","M","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD177B","M","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD179D","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD175E","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1787","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD178B","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1797","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1760","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1783","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1758","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1786","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD179C","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
