"rfid","sex","coatcolor"
"1DCD17E4","M","BROWN"
"1DCD17CB","M","ALBINO"
"1DCD17F5","M","BLACKHOOD"
"1DCD17F8","M","BLACK"
"1DCD17E7","M","BLACKHOOD"
"1DCD17D3","M","BLACKHOOD"
"1DCD1808","M","BROWN"
"1DCD17C6","M","ALBINO"
"1DCD180E","M","BLACK"
"1DCD17E3","M","BROWNHOOD"
"1DCD17BE","M","BROWN"
"1DCD17EC","M","BLACK"
"1DCD17BD","M","BLACKHOOD"
"1DCD17C1","M","BLACKHOOD"
"1DCD17E9","M","BLACK"
"1DCD17F6","M","BROWN"
"1DCD17FC","M","BROWNHOOD"
"1DCD17B3","M","BLACKHOOD"
"1DCD17DC","M","BROWNHOOD"
"1DCD17F4","M","BROWNHOOD"
"1DCD17FE","M","ALBINO"
"1DCD17BC","M","BLACK"
"1DCD17FF","M","BROWNHOOD"
"1DCD17C5","M","BROWN"
"1DCD17C2","M","BLACKHOOD"
"1DCD17BA","M","BLACK"
"1DCD17B1","M","BROWN"
"1DCD17D4","M","BROWNHOOD"
"1DCD17D9","M","BROWNHOOD"
"1DCD17FD","M","BLACK"
"1DCD17D1","M","BROWNHOOD"
"1DCD174E","F","BROWN"
"1DCD177C","F","BLACK"
"1DCD1778","F","BLACK"
"1DCD179B","F","BROWN"
"1DCD174B","F","BROWNHOOD"
"1DCD174F","F","ALBINO"
"1DCD17A0","F","BLACK"
"1DCD1757","F","BLACKHOOD"
"1DCD17BF","F","ALBINO"
"1DCD17E6","F","BROWNHOOD"
"1DCD17DF","F","BLACKHOOD"
"1DCD17F2","F","BROWNHOOD"
"1DCD180D","F","BLACKHOOD"
"1DCD17C7","F","ALBINO"
"1DCD17CF","F","BROWNHOOD"
"1DCD17F1","F","BLACK"
"1DCD17E8","F","BLACK"
"1DCD17CD","F","ALBINO"
"1DCD17E5","F","BROWN"
"1DCD1800","F","BLACKHOOD"
"1DCD17D8","F","BROWNHOOD"
"1DCD180A","F","BLACKHOOD"
"1DCD17EE","F","BROWNHOOD"
"1DCD17E0","F","ALBINO"
"1DCD17DD","F","BLACKHOOD"
"1DCD17F9","F","BROWNHOOD"
"1DCD17CC","F","BLACK"
"1DCD17B7","F","BLACKHOOD"
"1DCD17DB","F","BROWN"
"1DCD17B4","F","BROWNHOOD"
"1DCD180F","F","BLACKHOOD"
"1DCD1802","F","BROWN"
"1DCD17ED","F","ALBINO"
"1DCD17D2","F","BROWN"
"1DCD17CA","F","BROWN"
"1DCD17C9","F","BROWNHOOD"
"1DCD17B9","F","BLACK"
"1DCD17C4","F","BLACKHOOD"
"1DCD17BB","F","BLACKHOOD"
"1DCD17F3","F","BROWNHOOD"
"1DCD17CE","F","BLACKHOOD"
"1DCD17E2","F","BROWNHOOD"
"1DCD17B5","F","ALBINO"
"1DCD17D6","F","BLACKHOOD"
"1DCD17EF","F","BROWNHOOD"
"1DCD17AF","F","BROWN"
"1DCD17AD","F","BLACK"
"1DCD17B6","F","BLACKHOOD"
"1DCD1803","F","BLACKHOOD"
"1DCD17C0","F","BROWN"
"1DCD17E1","F","BLACK"
"1DCD17FB","F","BROWNHOOD"
"1DCD17DE","F","BROWNHOOD"
"1DCD17D0","F","BLACKHOOD"
"1DCD17F0","F","BLACKHOOD"
"1DCD1804","F","BROWNHOOD"
"1DCD18D5","M","BLACK"
"1DCD18BC","M","BROWNHOOD"
"1DCD1896","M","BROWN"
"1DCD1882","M","ALBINO"
"1DCD1899","M","BLACK"
"1DCD188B","M","ALBINO"
"1DCD188A","M","BROWNHOOD"
"1DCD1885","M","BLACKHOOD"
"1DCD18CA","M","BROWNHOOD"
"1DCD187B","M","BLACKHOOD"
"1DCD18B2","M","ALBINO"
"1DCD18BA","M","BROWN"
"1DCD1877","M","BROWNHOOD"
"1DCD1897","M","BROWN"
"1DCD1884","M","BLACK"
"1DCD18B8","M","BLACKHOOD"
"1DCD18D1","M","BROWNHOOD"
"1DCD18A1","M","BROWN"
"1DCD18B9","M","BLACK"
"1DCD18A4","M","BLACK"
"1DCD18CF","M","BROWN"
"1DCD18C7","M","BLACK"
"1DCD187D","M","BLACKHOOD"
"1DCD18CE","M","ALBINO"
"1DCD1883","M","BLACK"
"1DCD18C0","M","BROWNHOOD"
"1DCD187F","M","BLACK"
"1DCD18AC","M","BLACK"
"1DCD18A8","M","ALBINO"
"1DCD18CC","M","BLACKHOOD"
"1DCD1894","M","BROWN"
"1DCD1879","M","BROWNHOOD"
"1DCD18D8","M","ALBINO"
"1DCD189B","M","ALBINO"
"1DCD189F","M","BROWNHOOD"
"1DCD1886","M","BROWN"
"1DCD188F","M","BLACKHOOD"
"1DCD1891","M","BLACK"
"1DCD18B7","M","BLACKHOOD"
"1DCD192B","M","BROWN"
"1DCD18E0","M","ALBINO"
"1DCD190D","M","BLACKHOOD"
"1DCD18E5","M","BLACKHOOD"
"1DCD1911","M","BROWN"
"1DCD1924","M","BROWNHOOD"
"1DCD1901","M","BROWNHOOD"
"1DCD192C","M","BROWN"
"1DCD18EE","M","BLACK"
"1DCD1922","M","BLACKHOOD"
"1DCD187E","F","BLACKHOOD"
"1DCD18BD","F","BROWNHOOD"
"1DCD1875","F","BROWN"
"1DCD18B0","F","BLACKHOOD"
"1DCD187A","F","BROWN"
"1DCD187C","F","BLACKHOOD"
"1DCD1890","F","BROWNHOOD"
"1DCD188D","F","BROWN"
"1DCD1880","F","ALBINO"
"1DCD18A3","F","BROWN"
"1DCD189A","F","ALBINO"
"1DCD1893","F","BLACK"
"1DCD1892","F","BLACK"
"1DCD18BB","F","ALBINO"
"1DCD18B6","F","ALBINO"
"1DCD18B5","F","BROWNHOOD"
"1DCD1876","F","BLACK"
"1DCD18AE","F","ALBINO"
"1DCD18B3","F","BROWNHOOD"
"1DCD18A7","F","ALBINO"
"1DCD18A6","F","BLACK"
"1DCD18AD","F","BLACK"
"1DCD1887","F","BROWNHOOD"
"1DCD18C6","F","BLACKHOOD"
"1DCD18B4","F","ALBINO"
"1DCD18C9","F","BLACK"
"1DCD188C","F","BROWN"
"1DCD189D","F","BLACK"
"1DCD18C8","F","ALBINO"
"1DCD18D6","F","BLACKHOOD"
"1DCD18D3","F","BROWN"
"1DCD18D2","F","ALBINO"
"1DCD18C5","F","BLACK"
"1DCD18C2","F","ALBINO"
"1DCD18A5","F","BLACKHOOD"
"1DCD18B1","F","ALBINO"
"1DCD189E","F","BLACKHOOD"
"1DCD18CB","F","BROWNHOOD"
"1DCD1888","F","ALBINO"
"1DCD1878","F","BROWNHOOD"
"1DCD18A0","F","BROWN"
"1DCD18CD","F","BLACKHOOD"
"1DCD1937","F","BLACK"
"1DCD1926","F","BROWNHOOD"
"1DCD18DB","F","BROWN"
"1DCD191A","F","ALBINO"
"1DCD1900","F","BLACKHOOD"
"1DCD18F8","F","BLACKHOOD"
"1DCD18F4","F","ALBINO"
"1DCD18E7","F","BROWNHOOD"
"1DCD1928","F","BROWNHOOD"
"1DCD18F2","F","BROWN"
"1DCD18EF","F","BLACK"
"1DCD1930","F","BLACKHOOD"
"1DCD18E6","F","BROWN"
"1DCD1925","F","ALBINO"
"86","M","NA"
"87","F","NA"
"88","F","NA"
"89","F","NA"
"90","F","NA"
"91","F","NA"
"92","F","NA"
"93","M","NA"
"933000320187195","F","BROWNHOOD"
"933000320187197","F","BROWN"
"933000320187325","F","ALBINO"
"933000320187316","F","BLACK"
"933000320048608","M","BLACK"
"933000320048602","M","ALBINO"
"933000320048610","M","ALBINO"
"933000320048617","M","BLACK"
"933000320048767","M","BLACKHOOD"
"933000320048756","M","BLACK"
"933000320048340","M","BLACK"
"933000320048345","M","BROWN"
"933000320048136","M","BLACKHOOD"
"933000320048127","M","BLACK"
"933000320048349","M","BROWN"
"933000320048139","M","BROWNHOOD"
"933000320048593","M","BROWNHOOD"
"933000320048579","M","BROWN"
"933000320048209","M","BROWN"
"933000320048128","M","ALBINO"
"933000320048220","M","BROWN"
"933000320048215","M","BROWN"
"933000320048532","M","BLACK"
"933000320048542","M","BLACKHOOD"
"933000320048625","F","BLACK"
"933000320048619","F","BROWNHOOD"
"94","M","NA"
"1DCD1881","M","BLACKHOOD"
"1DCD18AA","M","BROWNHOOD"
"1DCD18BF","M","BROWN"
"1DCD1895","M","BLACKHOOD"
"1DCD1898","M","BROWN"
"1DCD18A9","M","BLACKHOOD"
"1DCD18A2","M","BLACKHOOD"
"933000320047009","M","BLACK"
"933000120138490","M","BROWNHOOD"
"933000120138503","M","BROWNHOOD"
"933000120138502","F","BROWNHOOD"
"933000120138701","F","BROWNHOOD"
"933000120138692","F","BROWNHOOD"
"933000120138702","M","BROWNHOOD"
"933000120138683","M","BROWNHOOD"
"933000120138694","M","BROWNHOOD"
"933000120138697","F","BROWNHOOD"
"933000120138691","F","BROWNHOOD"
"933000120138688","M","BROWNHOOD"
"933000120138541","M","BLACKHOOD"
"933000320045693","F","ALBINO"
"933000320045703","M","BLACK"
"933000320045711","F","BLACKHOOD"
"933000320045724","M","BLACK"
"933000320045705","F","BLACK"
"933000320046001","M","BROWNHOOD"
"933000320045697","F","ALBINO"
"933000320046443","F","ALBINO"
"933000320045868","F","ALBINO"
"933000320046112","F","BROWNHOOD"
"933000320046114","F","ALBINO"
"933000320046118","F","BROWN"
"933000320046430","M","BROWNHOOD"
"933000320046582","M","ALBINO"
"933000320046084","M","BROWN"
"933000320046090","M","BROWNHOOD"
"933000320046085","M","BROWNHOOD"
"933000320046077","M","BLACKHOOD"
"933000320046621","M","ALBINO"
"933000320046625","M","BLACKHOOD"
"933000320046549","M","BROWN"
"933000320047456","M","BLACK"
"933000320047473","M","BLACKHOOD"
"933000320047262","M","BLACK"
"933000320047256","M","BROWN"
"933000320047251","M","BROWN"
"933000320047255","M","BLACK"
"933000320047483","M","BROWN"
"933000320047013","M","BLACK"
"933000320047005","M","BLACKHOOD"
"933000320047016","M","BLACKHOOD"
"933000320047161","M","ALBINO"
"933000320047174","M","BROWN"
"933000320047160","M","BLACK"
"933000320046080","M","BLACKHOOD"
"933000320047259","M","BLACK"
"933000120138687","F","BROWNHOOD"
"933000320047006","M","BLACK"
"933000320047164","M","BLACK"
"933000320047865","M","ALBINO"
"933000320047941","M","BLACK"
"933000320047950","M","BROWNHOOD"
"933000320186801","M","BROWN"
"933000320047663","M","BROWN"
"933000320047654","M","BROWN"
"933000320047651","M","BROWNHOOD"
"933000320186828","M","BROWN"
"933000320047915","F","BLACK"
"933000320047921","F","BLACK"
"933000320047873","F","BROWNHOOD"
"933000320047867","F","ALBINO"
"933000320047870","F","BROWN"
"933000320047859","F","ALBINO"
"933000320047869","F","BROWN"
"933000320047855","F","BROWN"
"933000320187130","M","BLACKHOOD"
"933000320187128","M","BLACKHOOD"
"933000320187178","M","BLACK"
"933000320187176","M","ALBINO"
"933000320187180","M","ALBINO"
"933000320187200","M","BLACK"
"933000320187309","M","BLACK"
"933000320187318","M","BLACK"
"933000320187306","M","BROWNHOOD"
"933000320187313","M","BROWN"
"933000320187307","M","BLACK"
"933000320187310","M","BLACKHOOD"
"933000320187129","M","BLACKHOOD"
"933000320187139","M","BROWNHOOD"
"933000320187308","M","BROWN"
"933000320186963","F","BLACKHOOD"
"933000320186952","F","BROWNHOOD"
"933000320187185","F","BLACK"
"933000320187182","F","BLACKHOOD"
"933000320187181","F","BLACK"
"933000320187184","F","BLACKHOOD"
"933000320187183","F","BLACKHOOD"
"933000320187179","F","BLACK"
"933000320187317","F","ALBINO"
"933000320187312","F","BLACK"
"933000320187314","F","BLACKHOOD"
"933000320187315","F","BROWN"
"933000320187305","F","BLACK"
